Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01.mzML
P40959	P40959	MVP1_YEAST	MVP1		141731		494110			184371
P40960	P40960	PAC11_YEAST	PAC11							
P40961	P40961	PHB1_YEAST	PHB1		4.74232e+06	2.73308e+06	4.89993e+06	1.8382e+06	2.41901e+06	5.4815e+06
P40962	P40962	RTS2_YEAST	RTS2							
P40969	P40969	CBF3B_YEAST	CEP3							
P40970	P40970	LCB2_YEAST	LCB2		2.24864e+06	859524	2.58778e+06	568867	1.13055e+06	2.84079e+06
P40986	P40986	CDC1_YEAST	CDC1				644339			
P40989	P40989	FKS2_YEAST	GSC2		1.13614e+06	623560	1.26394e+06	353386	610085	1.73156e+06
P40991	P40991	NOP2_YEAST	NOP2		2.75406e+06	1.43505e+06	3.2249e+06	1.09934e+06	1.45603e+06	3.10872e+06
P40994	P40994	ARF3_YEAST	ARF3		617119		765833		221600	696859
P41056	P41056	RL33B_YEAST	RPL33B		3.08832e+07	1.56568e+07	3.13017e+07	1.57535e+07	1.82028e+07	3.35982e+07
P41057	P41057	RS29A_YEAST	RPS29A		2.54316e+07	1.28362e+07	2.3464e+07	1.2414e+07	1.16852e+07	2.64712e+07
P41058	P41058	RS29B_YEAST	RPS29B		9.23245e+06	4.62869e+06	7.98329e+06	3.84974e+06	3.88395e+06	1.05437e+07
P41091	P41091	IF2G_HUMAN	EIF2S3		2.71987e+07	2.65194e+07	2.59188e+07	2.79762e+07	2.5367e+07	2.60208e+07
P41134	P41134	ID1_HUMAN	ID1		127441	185032	206718		209393	151916
P41208	P41208	CETN2_HUMAN	CETN2			1.16592e+06	654001		951586	1.48593e+06
P41214	P41214	EIF2D_HUMAN	EIF2D		2.8616e+06	2.47789e+06	3.15376e+06	1.99251e+06	2.94389e+06	2.59008e+06
P41222	P41222	PTGDS_HUMAN	PTGDS							
P41223	P41223	BUD31_HUMAN	BUD31		5.06054e+06	4.49948e+06	4.67285e+06	3.41635e+06	4.04336e+06	4.62983e+06
P41227	P41227;A8MWP7;C9JN83;C9JW55;F8W808	NAA10_HUMAN	NAA10		6.64901e+06	8.2941e+06	8.74195e+06	6.61669e+06	8.07099e+06	8.48354e+06
P41227;Q9BSU3	P41227;Q9BSU3;A8MWP7;C9JN83;C9JW55;F8W808;H0Y8T0	NAA10_HUMAN;NAA11_HUMAN	NAA10;NAA11		5.59302e+06	6.38299e+06	6.27309e+06	5.39252e+06	5.64284e+06	5.72714e+06
P41229	P41229;A0A8I5KPH7;A0A8I5KQR8;A0A8I5KTT1;A0A8I5KXH7;A0A8I5KYW1;A0A8I5QL21	KDM5C_HUMAN	KDM5C		867252	1.27751e+06	1.40423e+06	1.17899e+06	1.51025e+06	1.59308e+06
P41229;Q9UGL1	P41229;Q9BY66;Q9UGL1;A0A3B3IS40;A0A3B3IT25;A0A3B3ITA8;A0A3B3ITE7;A0A3B3IT85;A0A8I5KPH7;A0A8I5KQR8;A0A8I5KTT1;A0A8I5KXH7;A0A8I5KYW1;C9JGA3;A0A3B3IS31;A0A3B3ISK2;A0A3B3ITR1	KDM5B_HUMAN;KDM5C_HUMAN	KDM5B;KDM5C		1.2714e+06		1.29743e+06	1.05694e+06	1.37028e+06	
P41236	P41236;Q6NXS1;E7EMN6;E7EUI7	IPP2_HUMAN	PPP1R2		2.52677e+06	2.91273e+06	3.09755e+06	1.94905e+06	2.88279e+06	3.24128e+06
P41240	P41240	CSK_HUMAN	CSK		1.10528e+07	1.04951e+07	1.00509e+07	1.12349e+07	1.04734e+07	1.03791e+07
P41250	P41250;A0A6Q8PGZ8;A0A6Q8PGA8;A0A6Q8PGI6;A0A6Q8PGW4;A0A6Q8PHH9	GARS_HUMAN	GARS1		2.95537e+07	2.80753e+07	2.92767e+07	2.83063e+07	2.84335e+07	2.81347e+07
P41252	P41252;A0A0A0MSX9;A0A804HHW9;A0A804HIV9;A0A804HJ36;A0A804HJN6;A0A804HL54;J3KR24	SYIC_HUMAN	IARS1		2.15301e+07	2.07776e+07	2.09211e+07	1.89972e+07	2.05416e+07	2.04325e+07
P41277	P41277	GPP1_YEAST	GPP1		8.61222e+07	4.05435e+07	8.55203e+07	4.38094e+07	4.30855e+07	8.57537e+07
P41318	P41318	LST8_YEAST	LST8		160992		206345			229089
P41338	P41338	ERG10_YEAST	ERG10		2.35078e+07	1.09152e+07	2.47181e+07	1.17339e+07	1.14429e+07	2.39833e+07
P41407	P41407	AZOR_ECOLI	azoR			296489		519996		
P41409	P41409	RIHA_ECOLI	rihA							
P41440	P41440	S19A1_HUMAN	SLC19A1		1.04682e+06	1.22857e+06	1.00586e+06	790130	949082	1.05744e+06
P41543	P41543	OST1_YEAST	OST1		2.00807e+06	1.28247e+06	2.56658e+06		1.42906e+06	2.899e+06
P41696	P41696	AZF1_YEAST	AZF1		382417		410032		291089	334306
P41697	P41697	BUD6_YEAST	BUD6		757445		317433			170772
P41733	P41733	CDC91_YEAST	GAB1							
P41734	P41734	IAH1_YEAST	IAH1		1.71268e+06	809669	1.82083e+06	1.0447e+06	978965	1.71747e+06
P41735	P41735	COQ7_YEAST	CAT5							384361
P41743	P41743	KPCI_HUMAN	PRKCI		1.75319e+06	1.53201e+06	1.78614e+06	1.63848e+06	1.71839e+06	1.42979e+06
P41800	P41800	MMM1_YEAST	MMM1							293360
P41805	P41805	RL10_YEAST	RPL10		1.23482e+08	5.80088e+07	1.12881e+08	6.13111e+07	5.40092e+07	1.21555e+08
P41807	P41807	VATH_YEAST	VMA13		1.13503e+07	5.97058e+06	1.20743e+07	4.95108e+06	5.34272e+06	1.24265e+07
P41810	P41810	COPB_YEAST	SEC26		7.70038e+06	3.8927e+06	7.94095e+06	3.4343e+06	4.11529e+06	8.48228e+06
P41811	P41811	COPB2_YEAST	SEC27		6.49784e+06	3.2005e+06	6.91761e+06	3.04941e+06	3.39333e+06	6.78078e+06
P41812	P41812	POP1_YEAST	POP1		157637		227936			197548
P41813	P41813	FKH2_YEAST	FKH2		128772					
P41814	P41814	TRM6_YEAST	GCD10		1.01693e+06	366084	919155		488514	1.11606e+06
P41815	P41815	BAP3_YEAST	BAP3							
P41818	P41818	GLC8_YEAST	GLC8		2.90082e+06	1.15802e+06	2.7115e+06	1.80037e+06	1.43887e+06	2.93489e+06
P41819	P41819	DIM1_YEAST	DIM1		1.06025e+06		1.22715e+06		1.8219e+06	1.11049e+06
P41832	P41832	BNI1_YEAST	BNI1		275996	161366	518885		163529	521626
P41834	P41834	UFE1_YEAST	UFE1				170718			
P41835	P41835	THI6_YEAST	THI6							
P41895	P41895	T2FA_YEAST	TFG1		1.03093e+06	357165	1.15245e+06	655686	491894	1.03321e+06
P41896	P41896	T2FB_YEAST	TFG2		382118		476239			406279
P41903	P41903	PTE1_YEAST	TES1		1.38702e+06	605893	1.17609e+06	518409	634299	1.48078e+06
P41910	P41910	MAF1_YEAST	MAF1		157833		137799			269772
P41911	P41911	GPD2_YEAST	GPD2		5.68634e+06	2.74635e+06	5.27997e+06	2.39206e+06	2.74355e+06	5.47779e+06
P41911;Q00055	P41911;Q00055	GPD1_YEAST;GPD2_YEAST	GPD1;GPD2		4.46955e+06		5.28547e+06		2.22981e+06	4.67924e+06
P41920	P41920	YRB1_YEAST	YRB1		3.8508e+06		8.11921e+06	1.00076e+06	3.55695e+06	5.62007e+06
P41921	P41921	GSHR_YEAST	GLR1		9.07211e+06	4.68754e+06	1.04967e+07	4.18759e+06	5.25794e+06	1.06845e+07
P41930	P41930	SSU1_YEAST	SSU1				305579			
P41940	P41940	MPG1_YEAST	PSA1		1.89156e+08	9.44283e+07	1.76173e+08	9.70988e+07	8.9391e+07	2.01453e+08
P42025	P42025	ACTY_HUMAN	ACTR1B		1.00012e+06	1.58683e+06	1.75753e+06	534914	1.59358e+06	1.77216e+06
P42025;P61163	P42025;P61163;A0A1B0GVS3;R4GMT0	ACTY_HUMAN;ACTZ_HUMAN	ACTR1A;ACTR1B		9.46829e+06	6.72752e+06	8.62102e+06	1.07096e+07	8.10583e+06	5.09394e+06
P42073	P42073	REF2_YEAST	REF2							
P42126	P42126	ECI1_HUMAN	ECI1		1.06077e+07	1.00676e+07	1.18565e+07	5.91602e+06	9.93095e+06	1.0989e+07
P42166	P42166	LAP2A_HUMAN	TMPO		9.04049e+06	9.14842e+06	9.08365e+06	7.47098e+06	8.94281e+06	8.93425e+06
P42166;P42167	P42166;P42167;G5E972;H0YJH7	LAP2A_HUMAN;LAP2B_HUMAN	TMPO		2.12205e+07	1.96888e+07	2.08343e+07	2.0175e+07	2.18015e+07	1.97257e+07
P42167	P42167;G5E972;H0YJH7	LAP2B_HUMAN	TMPO		1.45559e+06	2.13205e+06	1.99769e+06	1.56583e+06	1.62714e+06	1.73818e+06
P42224	P42224;A0A669KB52;A0A669KB53;A0A669KB56;A0A669KB68;A0A669KBA4;A0A669KBI6;A0A8V8TN81;J3KPM9;A0A669KB75;E7EPD2	STAT1_HUMAN	STAT1		3.02235e+06	4.00087e+06	4.2685e+06	2.9554e+06	4.09125e+06	4.10524e+06
P42226	P42226;A0A1W2PNW1;A0A494C0T4;H0YJH6;G3V2H4;G3V2L2;G3V2M3;G3V370;G3V568;G3V5I8;G3V5K5;Q5FBW6	STAT6_HUMAN	STAT6						200662	232068
P42226;P42229;P51692	P42226;P42229;P51692;A0A1W2PNW1;A0A494C0T4;A0A7I2V380;A0A7I2YQF1;A0A7I2YQY3;A0A8V8TM84;A0A8V8TMP4;A0A8V8TMR0;A0A8V8TP00;A0A8V8TP16;A0A8V8TP21;H0YJH6;K7EIF9;K7EK35;A0A8V8TM91	STA5A_HUMAN;STA5B_HUMAN;STAT6_HUMAN	STAT5A;STAT5B;STAT6		1.08983e+06		965278	1.36294e+06	1.02996e+06	
P42229	P42229;A0A7I2V380;A0A7I2YQY3;K7EIF9;K7EK35	STA5A_HUMAN	STAT5A		1.13206e+07	1.19765e+07	1.14735e+07	1.15562e+07	1.27122e+07	1.24499e+07
P42229;P51692	P42229;P51692;A0A7I2V380;A0A7I2YQF1;A0A7I2YQY3;A0A8V8TM84;A0A8V8TMP4;A0A8V8TMR0;A0A8V8TP00;A0A8V8TP16;A0A8V8TP21;K7EIF9;K7EK35;A0A8V8TM91	STA5A_HUMAN;STA5B_HUMAN	STAT5A;STAT5B		9.16279e+06	9.62182e+06	9.48388e+06	7.25722e+06	9.12746e+06	9.50204e+06
P42285	P42285	MTREX_HUMAN	MTREX		1.00297e+07	9.29476e+06	9.72037e+06	9.29204e+06	9.36547e+06	9.39706e+06
P42330	P42330;Q04828;A0A0A0MSS8;S4R3Z2;A6NHU4;H0Y804;S4R3D5	AK1C3_HUMAN	AKR1C3		1.44006e+07	1.32506e+07	1.36909e+07	1.38112e+07	1.31045e+07	1.29275e+07
P42330;P52895	P42330;P52895;Q04828;A0A0A0MSS8;B4DK69;S4R3Z2;H0Y804	AK1C2_HUMAN;AK1C3_HUMAN	AKR1C2;AKR1C3		6.44436e+06	5.98861e+06	6.11022e+06	7.47969e+06	5.98629e+06	5.99441e+06
P42331	P42331;C9JB56;H7C4P1	RHG25_HUMAN	ARHGAP25		186756	212002	312913		273745	232822
P42338	P42338;H0Y871	PK3CB_HUMAN	PIK3CB		549682	675352	708020	503725	760736	719288
P42345	P42345;A0A8V8TRG9;A0A8V8TQ52;A0A8V8TQM6	MTOR_HUMAN	MTOR		2.94105e+06	2.88626e+06	3.25018e+06	2.72562e+06	3.27445e+06	3.01974e+06
P42356	P42356	PI4KA_HUMAN	PI4KA		1.84885e+06	1.90783e+06	1.70719e+06	1.6815e+06	1.98686e+06	1.80536e+06
P42566	P42566;B1AUU8;A0A994J5A3;A0A994J5J3;A0A994J5W4;A0A994J841	EPS15_HUMAN	EPS15		5.77109e+06	5.94795e+06	5.94095e+06	5.47899e+06	5.86422e+06	5.93489e+06
P42574	P42574	CASP3_HUMAN	CASP3		4.46126e+06	4.82701e+06	5.21228e+06	3.01646e+06	4.95589e+06	5.10846e+06
P42575	P42575;A0A087WYM1;C9JRR9	CASP2_HUMAN	CASP2		377122	642826	557462	990174	483987	908683
P42588	P42588	PAT_ECOLI	patA		930714	3.65644e+06	980472	3.97221e+06	4.219e+06	1.00922e+06
P42593	P42593	FADH_ECOLI	fadH							
P42596	P42596	RLMG_ECOLI	rlmG							
P42599	P42599	YGJR_ECOLI	ygjR							
P42604	P42604	UXAA_ECOLI	uxaA							
P42616	P42616	YQJC_ECOLI	yqjC							
P42620	P42620	YQJG_ECOLI	yqjG			177840		83606	257791	
P42641	P42641	OBG_ECOLI	obgE			342577			617946	
P42677	P42677	RS27_HUMAN	RPS27		2.60162e+07	2.69383e+07	2.84076e+07	2.68125e+07	2.93737e+07	2.64879e+07
P42677;Q71UM5	P42677;Q71UM5;C9JLI6;H0YMV8	RS27L_HUMAN;RS27_HUMAN	RPS27;RPS27L		1.0301e+07	153933	1.44328e+07	4.65188e+06	1.12879e+07	1.08545e+07
P42679	P42679;K7EQY5	MATK_HUMAN	MATK							58354.6
P42680	P42680	TEC_HUMAN	TEC				210309			
P42684	P42684	ABL2_HUMAN	ABL2				177996		245706	304232
P42694	P42694;J3QS41	HELZ_HUMAN	HELZ		597733	457984	584161	384890	552882	592957
P42695	P42695;A0A8I5KT00;E9PLE0;E9PQA3	CNDD3_HUMAN	NCAPD3		584590	507126	776905	466182	803058	729600
P42696	P42696;A2A2V2	RBM34_HUMAN	RBM34		894014	1.09068e+06	756451	1.18783e+06	1.11984e+06	1.26723e+06
P42704	P42704;A0A804HHY9;A0A804HI14;A0A804HIG4;A0A804HIN4;A0A804HJZ1;A0A804HK30;A0A804HKI2;A0A804HKJ0;A0A804HKR3;A0A804HL40;A0A804HLG8	LPPRC_HUMAN	LRPPRC		3.16409e+07	3.20733e+07	3.18369e+07	3.22838e+07	3.22892e+07	3.22067e+07
P42765	P42765;A0A0B4J2A4;K7EME0	THIM_HUMAN	ACAA2		1.52145e+06	1.62014e+06	1.49906e+06	1.64848e+06	1.52054e+06	1.65229e+06
P42766	P42766;F2Z388	RL35_HUMAN	RPL35		3.82458e+07	3.43005e+07	3.2272e+07	4.08088e+07	3.28327e+07	3.45342e+07
P42768	P42768;A0A8V8TM35;A0A8V8TNH9;C9J3B7	WASP_HUMAN	WAS							40544.5
P42773	P42773	CDN2C_HUMAN	CDKN2C		694147	375933		520143	565429	
P42785	P42785;A0A7P0TB23;B7Z7Q6;E9PKN6;E9PL49;E9PL85;E9PLY4;E9PNF7;E9PNJ1;E9PQB5	PCP_HUMAN	PRCP		1.0762e+06	1.06068e+06	1.43767e+06		1.20548e+06	1.1101e+06
P42826	P42826	XKS1_YEAST	XKS1		1.60284e+06	1.61787e+06	1.84619e+06	594489	801264	2.28997e+06
P42838	P42838	LEM3_YEAST	LEM3		1.54201e+06	550936	1.5993e+06		527038	1.39819e+06
P42839	P42839	VNX1_YEAST	VNX1				372816			355123
P42840	P42840	YN60_YEAST	YNL320W							
P42841	P42841	PFS2_YEAST	PFS2							
P42842	P42842	EMW1_YEAST	EMW1		1.45844e+06	501506	1.42599e+06	653946	525766	1.50135e+06
P42843	P42843	SKP2_YEAST	SKP2							
P42844	P42844	ZIM17_YEAST	ZIM17							104366
P42845	P42845	STB1_YEAST	STB1							
P42846	P42846	KRI1_YEAST	KRI1		2.1133e+06	982799	1.90194e+06	1.13612e+06	839033	2.15813e+06
P42858	P42858;A0A7P0TA78;A0A7P0TAC5;A0A7P0TAN5	HD_HUMAN	HTT			150686	54109.1		188780	
P42898	P42898;A0A286YF17;A0A286YFD0;L7P8G6;Q5SNW7	MTHR_HUMAN	MTHFR		2.74958e+06	2.60065e+06	2.92278e+06	2.91728e+06	2.71954e+06	2.73663e+06
P42900	P42900	SLS1_YEAST	SLS1							
P42904	P42904	PTPB2_ECOLI	agaV							
P42934	P42934	PMT6_YEAST	PMT6		1.28103e+06	800323	1.68285e+06		846450	1.59652e+06
P42935	P42935	ELP2_YEAST	ELP2		1.10463e+06	237357	881455		345624	1.03889e+06
P42936	P42936	YG4D_YEAST	YGR201C		725421	851927	928861	164695	462696	1.02319e+06
P42937	P42937	YCH1_YEAST	YCH1				430350			390876
P42938	P42938	TDA10_YEAST	TDA10		1.97839e+06	683416	2.35498e+06	1.02538e+06	659014	2.49231e+06
P42940	P42940	ETFB_YEAST	CIR1		2.22169e+06	1.42747e+06	2.51505e+06	1.24878e+06	1.67509e+06	3.07628e+06
P42941	P42941	SERB_YEAST	SER2		3.40276e+06	1.66656e+06	3.53351e+06	1.47239e+06	1.83798e+06	3.69643e+06
P42942	P42942	YG4I_YEAST	YGR210C		1.0826e+06		1.03384e+06			1.03889e+06
P42943	P42943	TCPH_YEAST	CCT7		5.3061e+06	2.73585e+06	5.92731e+06	2.83668e+06	3.12613e+06	5.93413e+06
P42943;Q99832	Q99832;F8WAM2;P42943	TCPH_HUMAN;TCPH_YEAST	CCT7		1.38142e+07	1.26567e+07	1.24554e+07	1.34082e+07	1.23555e+07	1.32608e+07
P42945	P42945	UTP10_YEAST	UTP10		1.78005e+06	722209	1.75008e+06	766356	645226	1.61781e+06
P42949	P42949	TIM16_YEAST	PAM16		1.54518e+06		1.10793e+06		482563	2.17742e+06
P43007	P43007	SATT_HUMAN	SLC1A4		1.1594e+06	1.14401e+06	1.27141e+06	1.31232e+06	1.26276e+06	1.22368e+06
P43034	P43034;A0A6Q8PFU3;A0A6Q8PFT2;A0A6Q8PG63;A0A6Q8PH33	LIS1_HUMAN	PAFAH1B1		8.28422e+06	7.72123e+06	8.03216e+06	8.08483e+06	8.2555e+06	8.14893e+06
P43121	P43121	MUC18_HUMAN	MCAM		2.28836e+06	1.91676e+06	2.09203e+06	2.04457e+06	2.39785e+06	2.04132e+06
P43123	P43123	UAP1_YEAST	QRI1		2.62501e+06	1.3729e+06	2.84927e+06	1.17083e+06	1.41612e+06	3.24689e+06
P43132	P43132	BRE2_YEAST	BRE2		421388	149849		155631		502656
P43243	P43243;A0A0R4J2E8;A8MXP9;B3KM87;D6R991;D6RBI2;D6RBK5;D6RE02;D6REM6;D6RIA2;H0Y8T4	MATR3_HUMAN	MATR3		3.1055e+07	3.27148e+07	3.2769e+07	2.74436e+07	3.34552e+07	3.28063e+07
P43246	P43246;A0A2R8Y6P0;A0A2R8YFH0;A0A2R8YG02;E9PHA6	MSH2_HUMAN	MSH2		9.36324e+06	9.08544e+06	9.19706e+06	8.55318e+06	9.05415e+06	9.01543e+06
P43250	P43250;D6RHX8;F8W9W2	GRK6_HUMAN	GRK6		712570	693636	661815	578939	705358	880354
P43304	P43304;F5GYK7	GPDM_HUMAN	GPD2		3.12e+06	3.13185e+06	2.74379e+06	2.55608e+06	3.10491e+06	2.99996e+06
P43307	P43307;A0A3B3IRT8;C9IZQ1;E9PAL7;C9J3L8;C9J5W0	SSRA_HUMAN	SSR1		2.5876e+06	2.30931e+06	2.13271e+06	2.43475e+06	2.29232e+06	2.48714e+06
P43321	P43321	SMD3_YEAST	SMD3		1.95192e+06	739058	1.83394e+06	1.03194e+06	460973	1.76436e+06
P43329	P43329	HRPA_ECOLI	hrpA							
P43355	P43355	MAGA1_HUMAN	MAGEA1		668936	566026	712582	572036	292901	581402
P43355;P43362	P43355;P43361;P43362;A0A075B7A9	MAGA1_HUMAN;MAGA9_HUMAN	MAGEA1;MAGEA9		452717		988577		631056	
P43360	P43360	MAGA6_HUMAN	MAGEA6		193711	227452			328639	259635
P43362	P43362;A0A075B7A9	MAGA9_HUMAN	MAGEA9		1.10669e+06	1.29796e+06	1.20891e+06	1.46666e+06	1.02865e+06	1.20923e+06
P43365	P43365	MAGAC_HUMAN	MAGEA12		362791		237643	358667	397564	
P43366	P43366	MAGB1_HUMAN	MAGEB1		9.33391e+06	9.0829e+06	9.56052e+06	8.70998e+06	9.94281e+06	8.89193e+06
P43366;Q96LZ2	O15481;P43366;Q96LZ2	MAGB1_HUMAN;MAGBA_HUMAN	MAGEB1;MAGEB10		2.55835e+06		3.16136e+06			2.08971e+06
P43378	P43378	PTN9_HUMAN	PTPN9				149363		105375	
P43405	P43405	KSYK_HUMAN	SYK			222316			262119	256642
P43487	P43487;F6WQW2;C9JDM3;C9JJ34	RANG_HUMAN	RANBP1		1.86927e+08	1.69436e+08	1.79858e+08	1.82088e+08	1.79837e+08	1.73037e+08
P43490	P43490;A0A7P0T895;A0A7P0T8L3;A0A7P0T9I9;A0A0C4DFS8;A0A7P0T862;A0A7P0T8D2;A0A7P0T931;A0A7P0T941;A0A7P0T973;A0A7P0TA73;A0A7P0TAS5;A0A7P0TBB7;A0A7P0Z466;B7Z8W6	NAMPT_HUMAN	NAMPT		1.8565e+07	1.8509e+07	1.90533e+07	1.67947e+07	1.91874e+07	1.90157e+07
P43535	P43535	GCN20_YEAST	GCN20		3.84377e+06	2.19447e+06	4.36994e+06	2.191e+06	1.96786e+06	4.44281e+06
P43554	P43554	SWP82_YEAST	SWP82				250189			170720
P43555	P43555	EMP47_YEAST	EMP47		4.10641e+06	1.92471e+06	3.85875e+06	1.78793e+06	1.89796e+06	4.24079e+06
P43556	P43556	RGD2_YEAST	RGD2		213794	99848.4	312254		59520.7	330140
P43558	P43558	OTU1_YEAST	OTU1		779758	400642	994245	530557	233553	1.07287e+06
P43558;Q9NXE8	Q9NXE8;P43558	CWC25_HUMAN;OTU1_YEAST	CWC25;OTU1		1.1647e+06	750692	929564		484086	1.11776e+06
P43560	P43560	LAM5_YEAST	LAM5							413964
P43561	P43561	FET5_YEAST	FET5		1.28707e+06	625594	1.34497e+06	268596	462284	1.66779e+06
P43563	P43563	MOB2_YEAST	MOB2		186743		279237		137607	265658
P43564	P43564	MIL1_YEAST	MIL1							
P43565	P43565	RIM15_YEAST	RIM15							
P43568	P43568	CAK1_YEAST	CAK1				80818.7			403416
P43569	P43569	CAF16_YEAST	CAF16		528614	239705	624976	71934.4	301330	582049
P43570	P43570	GYP8_YEAST	GYP8							
P43572	P43572	EPL1_YEAST	EPL1							
P43573	P43573	BUD27_YEAST	BUD27		370621		403373			317691
P43574	P43574	GAT1_YEAST	GAT1							
P43577	P43577	GNA1_YEAST	GNA1		745814	461649	1.16591e+06	608617	594874	1.19103e+06
P43579	P43579	IES1_YEAST	IES1		296853		317666	184921	190178	466142
P43582	P43582	WWM1_YEAST	WWM1		6.5067e+06	3.33223e+06	8.46998e+06	1.43325e+06	3.69937e+06	7.34245e+06
P43583	P43583	BLM10_YEAST	BLM10		1.10566e+06	424576	837051		538498	1.0655e+06
P43585	P43585	VTC2_YEAST	VTC2		5.07073e+06	2.27523e+06	4.88662e+06	2.10768e+06	2.3938e+06	5.08191e+06
P43585;Q02725	P43585;Q02725	VTC2_YEAST;VTC3_YEAST	VTC2;VTC3		1.47577e+06		2.06382e+06		675301	1.5116e+06
P43586	P43586	LOC1_YEAST	LOC1		1.57371e+06	1.02443e+06	2.01178e+06	633893	1.1441e+06	1.95015e+06
P43587	P43587	YPI1_YEAST	YPI1		1.08057e+06		1.31452e+06			926007
P43588	P43588	RPN11_YEAST	RPN11		5.45288e+06	2.76193e+06	5.40107e+06	2.0607e+06	2.76163e+06	5.46306e+06
P43589	P43589	SAD1_YEAST	SAD1							
P43590	P43590	YFH6_YEAST	YFR006W		2.04855e+06	1.16906e+06	2.63112e+06	1.52951e+06	1.20266e+06	2.49226e+06
P43591	P43591	YFH7_YEAST	YFH7		110667		451549			393111
P43592	P43592	FAR7_YEAST	FAR7				1.012e+06			
P43593	P43593	UBP6_YEAST	UBP6		5.43205e+06	3.01157e+06	5.93226e+06	2.53711e+06	3.14059e+06	6.23828e+06
P43594	P43594	MIC19_YEAST	MIC19		401864		578828			372642
P43596	P43596	IOC3_YEAST	IOC3			67123	283645			468080
P43597	P43597	YFI6_YEAST	YFR016C		890102	453002	1.02331e+06	311090	478431	1.1548e+06
P43598	P43598	IGD1_YEAST	IGD1		886985	509824	1.09272e+06	317698	417916	1.11153e+06
P43599	P43599	YFI8_YEAST	YFR018C				367293			451000
P43601	P43601	ATG18_YEAST	ATG18		354005				183264	
P43603	P43603	LSB3_YEAST	LSB3		5.14141e+06	2.25956e+06	5.95621e+06	1.92178e+06	2.75301e+06	5.34512e+06
P43609	P43609	RSC8_YEAST	RSC8		2.88659e+06	1.64253e+06	3.38282e+06	1.50431e+06	1.64899e+06	3.40944e+06
P43610	P43610	IRC5_YEAST	IRC5							
P43611	P43611	OSW7_YEAST	OSW7				722013		482807	676783
P43612	P43612	SA155_YEAST	SAP155		766020	256700	743633		409748	948071
P43613	P43613	ERJ5_YEAST	ERJ5			374252				925758
P43616	P43616	DUG1_YEAST	DUG1		4.56934e+07	2.22739e+07	5.47434e+07	2.15474e+07	2.5228e+07	4.99269e+07
P43619	P43619	NADC_YEAST	BNA6		3.99207e+06	1.89607e+06	3.49478e+06	1.97479e+06	2.26257e+06	3.96069e+06
P43620	P43620	RMD8_YEAST	RMD8				213862			164307
P43621	P43621	COPD_YEAST	RET2		1.06301e+07	4.96878e+06	1.04407e+07	4.82103e+06	5.22519e+06	1.12789e+07
P43636	P43636	ALG2_YEAST	ALG2		1.12615e+06	426446	1.05755e+06	330642	516920	982961
P43638	P43638	MHP1_YEAST	MHP1		1.34889e+06	578125	1.33376e+06	344773	702487	1.43885e+06
P43639	P43639	CSK2B_YEAST	CKB1		1.49194e+06	734206	1.64496e+06	296395	700963	1.75488e+06
P43672	P43672	UUP_ECOLI	uup						238422	
P43682	P43682	SFT1_YEAST	SFT1				1.27397e+06			
P43686	P43686	PRS6B_HUMAN	PSMC4		1.47669e+07	1.4304e+07	1.38995e+07	1.49044e+07	1.46979e+07	1.42825e+07
P43897	P43897	EFTS_HUMAN	TSFM		6.54054e+06	7.35944e+06	6.48993e+06	5.39405e+06	6.02359e+06	6.84523e+06
P45395	P45395	KDSD_ECOLI	kdsD							
P45425	P45425	NANK_ECOLI	nanK						614720	
P45464	P45464	LPOA_ECOLI	lpoA							
P45470	P45470	YHBO_ECOLI	yhbO							
P45523	P45523	FKBA_ECOLI	fkpA		1.29211e+06	5.63835e+06	1.48992e+06	5.52604e+06	6.06646e+06	1.41352e+06
P45530	P45530	TUSB_ECOLI	tusB							
P45531	P45531	TUSC_ECOLI	tusC							
P45532	P45532	TUSD_ECOLI	tusD							
P45544	P45544	FRLR_ECOLI	frlR							
P45545	P45545	YHFS_ECOLI	yhfS							
P45577	P45577	PROQ_ECOLI	proQ			2.44667e+06		2.42357e+06	2.46481e+06	
P45748	P45748	TSAC_ECOLI	tsaC			875956		727389	650132	
P45799	P45799	NUDE_ECOLI	nudE					103994		
P45818	P45818	ROK1_YEAST	ROK1		269719		386057			434096
P45880	P45880;A0A0A0MR02	VDAC2_HUMAN	VDAC2		6.12546e+07	5.94123e+07	5.71426e+07	5.87085e+07	5.89577e+07	5.83353e+07
P45954	P45954	ACDSB_HUMAN	ACADSB		576171	858114	841954	958870	1.02097e+06	1.02682e+06
P45955	P45955	CPOB_ECOLI	cpoB			158217		89645	275861	
P45973	P45973	CBX5_HUMAN	CBX5		5.80843e+06	6.27442e+06	7.11668e+06	5.74665e+06	5.90548e+06	6.08418e+06
